id, fname, gname, address, dob
0,Dimitrios,Huebner,81379 Muenchen,17.12.1974
1,Annette,Gerth,41189 Moenchengladbach,16.03.1971
2,Ruth,Schroeder,42899 Remscheid,11.06.1953
3,Alexander,Bergner,45894 Gelsenkirchen,26.11.1962
4,Bernhard,Schumacher,52538 Selfkant,10.03.1968
5,Carmen,Raschke,82547 Eurasburg,12.10.1949
6,Ute,Neumann,66539 Neunkirchen/Saar,12.02.1954
7,Heinz,Becker,42781 Haan,03.01.1980
8,Elmar,Jahn,44625 Herne,08.11.1965
9,Ilka,Sieg,12559 Berlin,16.03.1986
10,Ferdinand,Wahl,12587 Berlin,31.10.1951
11,Christian,Baumann,22844 Norderstedt,08.09.2003
12,Dagmar,Winter,49681 Garrel,26.01.1959
13,Hartmut,Eichler,59199 Boenen,18.01.1966
14,Melanie,Kupfer,46147 Oberhausen,22.11.1940
15,Gerda,Doerner,12687 Berlin,13.08.1936
16,Manfred,Pesch,48249 Duelmen,10.09.1940
17,Barbara,Marx,85356 Freising,02.07.1932
18,Michael,Wunderlich,26419 Schortens,30.04.1926
19,Dietrich,Doerner,02923 Neisseaue,17.06.1986
